Country,Country_code,Year,Quantity
Uganda,UGA,2018,4039.5
Ukraine,UKR,2018,159852
United Arab Emirates,ARE,2018,135997
United Kingdom,GBR,2018,333424
United Rep. of Tanzania,TZA,2018,7230
United States,USA,2018,4455439
United States Virgin Is.,VIR,2018,626.21
Uruguay,URY,2018,14624.4
Uzbekistan,UZB,2018,62407.799
Vanuatu,VUT,2018,79.544
Venezuela (Bolivar. Rep.),VEN,2018,99737
Viet Nam,VNM,2018,213121
Wallis and Futuna Is.,WLF,2018,20.27
Yemen,YEM,2018,3609
Zambia,ZMB,2018,16190.9
Zimbabwe,ZWE,2018,9418
